readfile	mapping_type	sequence_length	sequence_count	read_count
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/nvec_shortstack/nvec_1_S25_L001_R1_001_trim_condensed.bam	U	<21	26110	78377
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/nvec_shortstack/nvec_1_S25_L001_R1_001_trim_condensed.bam	U	21	3535	7773
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/nvec_shortstack/nvec_1_S25_L001_R1_001_trim_condensed.bam	U	22	3212	13885
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/nvec_shortstack/nvec_1_S25_L001_R1_001_trim_condensed.bam	U	23	3052	10307
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/nvec_shortstack/nvec_1_S25_L001_R1_001_trim_condensed.bam	U	24	3032	7754
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/nvec_shortstack/nvec_1_S25_L001_R1_001_trim_condensed.bam	U	>24	36134	142158
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/nvec_shortstack/nvec_1_S25_L001_R1_001_trim_condensed.bam	P	<21	9364	36306
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/nvec_shortstack/nvec_1_S25_L001_R1_001_trim_condensed.bam	P	21	972	6554
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/nvec_shortstack/nvec_1_S25_L001_R1_001_trim_condensed.bam	P	22	858	8484
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/nvec_shortstack/nvec_1_S25_L001_R1_001_trim_condensed.bam	P	23	839	10118
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/nvec_shortstack/nvec_1_S25_L001_R1_001_trim_condensed.bam	P	24	794	4572
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/nvec_shortstack/nvec_1_S25_L001_R1_001_trim_condensed.bam	P	>24	8894	107224
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/nvec_shortstack/nvec_1_S25_L001_R1_001_trim_condensed.bam	R	<21	15412	55973
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/nvec_shortstack/nvec_1_S25_L001_R1_001_trim_condensed.bam	R	21	1782	9359
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/nvec_shortstack/nvec_1_S25_L001_R1_001_trim_condensed.bam	R	22	1589	15855
