readfile	mapping_type	sequence_length	sequence_count	read_count
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_2_S31_L001_R1_001_condensed.bam	U	<21	29153	72449
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_2_S31_L001_R1_001_condensed.bam	U	21	3478	12454
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_2_S31_L001_R1_001_condensed.bam	U	22	3052	17266
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_2_S31_L001_R1_001_condensed.bam	U	23	3017	10802
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_2_S31_L001_R1_001_condensed.bam	U	24	2921	8376
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_2_S31_L001_R1_001_condensed.bam	U	>24	43091	135029
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_2_S31_L001_R1_001_condensed.bam	P	<21	14320	82042
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_2_S31_L001_R1_001_condensed.bam	P	21	1954	18517
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_2_S31_L001_R1_001_condensed.bam	P	22	1785	16066
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_2_S31_L001_R1_001_condensed.bam	P	23	1777	19885
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_2_S31_L001_R1_001_condensed.bam	P	24	1683	18623
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_2_S31_L001_R1_001_condensed.bam	P	>24	21848	402668
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_2_S31_L001_R1_001_condensed.bam	R	<21	30158	265626
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_2_S31_L001_R1_001_condensed.bam	R	21	4184	69864
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_2_S31_L001_R1_001_condensed.bam	R	22	3987	88501
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_2_S31_L001_R1_001_condensed.bam	R	23	4131	86408
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_2_S31_L001_R1_001_condensed.bam	R	24	4136	74439
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_2_S31_L001_R1_001_condensed.bam	R	>24	60777	971402
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_2_S31_L001_R1_001_condensed.bam	H	<21	3207	5202
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_2_S31_L001_R1_001_condensed.bam	H	21	254	436
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_2_S31_L001_R1_001_condensed.bam	H	22	206	546
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/apoc_raw_shortstack/tapoc_2_S31_L001_R1_001_condensed.bam	H	23	224	408
