readfile	mapping_type	sequence_length	sequence_count	read_count
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_1_S27_L001_R1_001_trim_condensed.bam	U	<21	24087	73202
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_1_S27_L001_R1_001_trim_condensed.bam	U	21	2687	12882
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_1_S27_L001_R1_001_trim_condensed.bam	U	22	2569	22727
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_1_S27_L001_R1_001_trim_condensed.bam	U	23	2413	33641
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_1_S27_L001_R1_001_trim_condensed.bam	U	24	2441	15082
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_1_S27_L001_R1_001_trim_condensed.bam	U	>24	182196	973994
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_1_S27_L001_R1_001_trim_condensed.bam	P	<21	22628	131180
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_1_S27_L001_R1_001_trim_condensed.bam	P	21	1856	17119
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_1_S27_L001_R1_001_trim_condensed.bam	P	22	1465	32171
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_1_S27_L001_R1_001_trim_condensed.bam	P	23	1268	12942
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_1_S27_L001_R1_001_trim_condensed.bam	P	24	1419	8468
/work/pi_hputnam_uri_edu/jillashey/cnidarian_sperm_smRNA/output/ahya_shortstack/ahya_1_S27_L001_R1_001_trim_condensed.bam	P	>24	83553	441042
